Category,Product URL,Brand,Product Name,Original Price,Sale Price,Flags,Rating
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000228069&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,이지듀,[OY단독]이지듀 기미 앰플 쿠션 기획 (본품 13g + 리필 13g),"58,900원","51,900원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180158&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,닥터지,"[6월 올영픽][보송톤업/파데프리] 닥터지 브라이트닝 업 선 플러스 기획 2종 택 1 (1+1, 증정 기획)","32,000원","22,900원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225317&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14,체이싱래빗,[파데프리/선크림/톤업크림] 체이싱래빗 올어바웃 글로우 커버크림 35g,"20,000원","16,000원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182782&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15,구달,[6/14 하루특가_스티치에디션] 구달 맑은 어성초 진정 쿨링 선스틱 19g 1+1 기획 (+스티치 스티커 증정),"22,000원","17,900원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180237&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16,달바,[베이스착붙] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),"51,000원","35,700원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200614&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17,달바,[쿨톤보정] 달바 퍼플 톤업 선크림 듀오 기획 (50ml+50ml),"51,000원","35,700원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000228157&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18,식물나라,[6월 올영픽] 식물나라 보송 페이스 앤 바디 선 스틱 30g 1+1 기획,"27,000원","16,920원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215422&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19,이지듀,[한가인PICK/기미커버개선] 이지듀 기미 앰플 쿠션 15g,"39,800원","36,860원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168740&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20,라운드랩,[6월 올영픽][1+1/안심] 라운드랩 자작나무 무기자차 선크림 50ml 1+1 기획,"25,000원","24,200원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208182&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=21,에스네이처,[수분쿨링UV/화잘먹] 에스네이처 아쿠아 365 유브이 선크림 40ml 2입,"36,000원","24,900원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200635&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=22,닥터지,[6월 올영픽][화잘먹/수분선] 닥터지 레드 블레미쉬 수딩 업 선 50ml 1+1 기획,"29,000원","17,200원","['세일', '쿠폰', '오늘드림']",
